State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Georgia,Reporting Timeline: Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: (no information avaialble),1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days (report cluster immediately); Isolate required: Y (from sterile sources),4,Reporting Timeline:  7 days (report clusters immediately); Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days (report clusters immediately); Isolate required: Y,4,Reporting Timeline:  Immediately; Isolate required: Y (outbreak only),1,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days (report clusters immediately),4,Reporting Timeline:  7 says (report clusters immediately),4,Reporting Timeline:  7 days (report clusters immediately),4,Not Reportable,N,Reporting Timeline:  Immediately,1,Not Reportable,N
Hawaii,Reporting Timeline: Immediately; Isolate required: Y - Immediately,1,Reporting Timeline:  Immediately; Isolate required: Y - immediately,1,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - Immediate notification",3,Reporting Timeline:  Immediately; Isolate required: Y - Immediate notification,1,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - immediate notification",3,Not Reportable,N,Reporting Timeline:  Routine; Isolate required: On request,2,Reporting Timeline:  Immediately; Isolate required: Y - Immediately,1,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child); Isolate required: Y - 3 days",3,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child)",2,Reporting Timeline:  Routine,2,"Reporting Timeline:  Routine (Immediately if a food handler, direct care provider, or pre-school aged child)",2,Reporting Timeline:  Routine,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Idaho,Reporting Timeline: 1 working day; Isolate required: N,3,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: N,3,Reporting Timeline:  1 working day; Isolate required: N,3,Reporting Timeline:  3 working days; Isolate required: N,3,Reporting Timeline:  1 working day; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: N,3,Reporting Timeline:  1 working day; Isolate required: N,2,Reporting Timeline:  3 working days; Isolate required: N,4,Reporting Timeline:  3 working days; Isolate required: N,3,Reporting Timeline:  1 working day; Isolate required: ,4,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 working days,3,Not Reportable,N,Reporting Timeline:  3 working days,3,Reporting Timeline:  3 working days,3,Reporting Timeline:  1 working day,3,Not Reportable,N
Illinois,Reporting Timeline: 3 hours; Isolate required: Y (24 hours),2,Reporting Timeline:  3 hours; Isolate required: N,4,Reporting Timeline:  24 hours; within 8 regularly schedule business hours after identifying the case; Isolate required: Y (7 days),1,Reporting Timeline:  24 hours; Isolate required: Y (7 days),2,Reporting Timeline:  7 days; Isolate required: Y (7 days),4,Reporting Timeline:  7 days; Isolate required: Y (7 days),4,Reporting Timeline:  24 hours; Isolate required: Y (7 days),2,Reporting Timeline:  7 days; Isolate required: Y (7 days),4,Reporting Timeline:  24 hours - when identified in clusters in a community setting or colonization/infeciton in infacnts <6; Isolate required: Y (7 days VISA/VRSA only),2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y (7 days),3,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Not Reportable,N
Indiana,Reporting Timeline: 72 hours; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: Y - 5 business days,1,Reporting Timeline:  Immediately; Isolate required: Y - 5 business days,1,Reporting Timeline:  72 hours; Isolate required: Y - 5 business days,3,Reporting Timeline:  72 hours; Isolate required: Y - 5 business days,3,Reporting Timeline:  Immediately; Isolate required: Y - 5 business days,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: Y - 5 business days; Vancomycin resistance equal or greater than 8,1,Reporting Timeline:  72 hours; Isolate required: Y (pneumoniae only and if less than 5 years) - 5 business days,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Iowa,Reporting Timeline: 3 days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  1 day; Isolate required: Y,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  1 day; Isolate required: Y (3 days - considered as salmonella spp. not typhoid fever… ),2,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately for VISA/VRSA; 3 days for MRSA and other; Isolate required: Y (3 days),1,Reporting Timeline:  3 days; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: N,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  1 day,2,Reporting Timeline:  3 days; Isolate required: N,4
Kansas,Reporting Timeline: 7 days; Isolate required: N,4,Reporting Timeline:  4 hours; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Not Reportable,N,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  4 hours; Isolate required: N,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Not Reportable,N
Kentucky,Reporting Timeline: Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y - ask to have isolate sent to Kentucky Division of Laboratory Services to check for O and H antigen characterization,2,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,1,"Reporting Timeline:  24 hours; Isolate required: Y - Attempt to get isolate sent to Kentucky Department for Public Health, Division of Laboratory Services for serotyping",1,"Reporting Timeline:  24 hours; Isolate required: Y - Attempt to get isolate sent to Kentucky Department for Public Health, Division of Laboratory Services for serotyping",2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: Y (for aureaus),1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Not Reportable,N,Reporting Timeline:  24 hours,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours,2,Reporting Timeline:  1 business day; Isolate required: N,2
Louisiana,Reporting Timeline: 24 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,4,Reporting Timeline:  1 business day; Isolate required: N,3,Reporting Timeline:  1 business day; Isolate required: N,3,Reporting Timeline:  End of workweek; Isolate required: N,3,Reporting Timeline:  1 business day; Isolate required: N,1,Reporting Timeline:  1 business day; Isolate required: N,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  24 hours for VISA/VRSA; end of workweek for MRSA; Isolate required: N,2,Reporting Timeline:  End of workweek; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  End of workweek; Isolate required: N,4,Reporting Timeline:  End of workweek; Isolate required: N,3,Reporting Timeline:  End of workweek; Isolate required: N,3,Reporting Timeline:  End of workweek,3,Reporting Timeline:  End of workweek,3,Reporting Timeline:  End of workweek,3,Reporting Timeline:  End of workweek,3,Reporting Timeline:  1 business days,3,Not Reportable,N
Maine,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  48 hours; Isolate required: Y,3,Reporting Timeline:  48 hours; Isolate required: Y,3,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  48 hours; Isolate required: Y,4,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  Immediately for VISA/VRSA; 48 hours for MRSA; Isolate required: N,1,Reporting Timeline:  48 hours; Isolate required: N,2,Reporting Timeline:  48 hours; Isolate required: Y,4,Reporting Timeline:  48 hours; Isolate required: Y,3,Reporting Timeline:  48  hours; Isolate required: Y,3,Reporting Timeline:  48 hours; Isolate required: Y,3,Reporting Timeline:  48 hours,2,Not Reportable,N,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Maryland,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  1 working day; Isolate required: Y,2
Massachusetts,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  Immediately (VISA and VRSA);24  hours (MRSA); Isolate required: Y (VISA and VRSA),1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N (but vibriosis does…),4,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  24 hours; Isolate required: N,N
Michigan,Reporting Timeline: 24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,4,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y (VISA and VRSA),2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,1
Minnesota,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,3,Reporting Timeline:  1 working day; Isolate required: Y,2
Mississippi,Reporting Timeline: 24 hours; Isolate required: Y (weekly),2,Reporting Timeline:  24 hours; Isolate required: Y (weekly),4,Reporting Timeline:  24 hours; Isolate required: Y (weekly),2,Reporting Timeline:  24 hours; Isolate required: Y (weekly),2,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: Y (weekly)",4,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: N",4,Reporting Timeline:  24 hours; Isolate required: Y (weekly),2,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: N",4,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  1 week; 24 hours if outbreak; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: Y (weekly),3,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: Y (weekly)",4,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: Y (weekly)",4,"Reporting Timeline:  1 week; if outbreak, 24 hours; Isolate required: Y (weekly)",4,Reporting Timeline:  1 week; lab only,4,Not Reportable,N,Not Reportable,N,"Reporting Timeline:  1 week; if outbreak, 24 hours",4,Reporting Timeline:  Immediately,1,Reporting Timeline:  1 week; lab only; Isolate required: N,4
