State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Maine,0,1,0,1,48,3,48,3,48,2,48,2,48,4,48,2,0*,1,48,2,48,4,48,3,48,3,48,3,48,2,n/a,N,48,2,48,2,0,1,n/a,N
Maryland,0,1,0,1,0,1,n/a,N,24.1,2,24.1,1,0,1,24.1,2,24.1,3,24.1,2,0,1,24.1,2,24.1,2,24.1,2,24.1,1,24.1,1,24.1,1,24.1,1,0,1,24.1,2
Massachusetts,0,1,0,1,24.1,3,24.1,3,24.1,2,24.1,1,0,1,24.1,2,0*,1,0,1,24.1,4,48.1,3,48.1,3,48.1,3,48.1,2,48.1,2,48.1,2,24.1,1,0,1,n/a,N
Michigan,24,2,24,4,24,2,24,2,24,1,24,1,24,2,24,1,24,2,24,1,24,3,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,2,24,1
Minnesota,0,1,0,1,24.1,3,24.1,3,24.1,2,24.1,1,24.1,3,24.1,2,24.1,3,24.1,2,0,1,24.1,2,24.1,2,24.1,2,24.1,1,24.1,1,24.1,1,24.1,1,24.1,3,24.1,2
Mississippi,24,2,24,4,24,2,24,2,168*,4,168*,4,24,2,168*,4,24,2,168*,4,24,3,168*,4,168*,4,168*,4,168*,4,n/a,N,n/a,N,168*,4,0,1,168 (lab),4
Missouri,24,2,0,1,24,2,24,2,72,3,72,3,24,2,24,1,24,2,72,2,24,3,72,3,72,3,72,3,72,2,72,2,72,2,72,2,24,2,72,4
Montana,168,4,0,1,8,1,n/a,N,8,1,168,4,0,1,168,4,n/a,N,168,4,8,2,n/a,N,n/a,N,n/a,N,168,4,n/a,N,168,4,168,4,168,4,n/a,N
Nebraska,0,1,0,1,168,4,168,4,168,4,168,4,168,4,168,4,168,4,168,4,0,1,n/a,N,n/a,N,n/a,N,168,4,168,4,168,4,168,4,0*,1,168,4
Nevada,24.2,3,24,4,24.2,3,24.2,3,24.2,2,24.2,2,24.2,4,24.2,2,24.2,4,24.2,2,24.2,4,24.2,2,24.2,2,24.2,2,24.2,2,n/a,N,24.2,1,24.2,2,24.2,4,n/a,N
New Hampshire,24,2,24,4,72,3,72,3,72,3,72,3,24,2,72,3,n/a,N,72,2,24,3,24,1,24,1,24,1,72,2,72,2,72,2,72,2,24,2,n/a,N
New Jersey,0,1,0,1,24,2,24,2,24,1,24,1,24,2,24,1,24,2,24,1,24,3,24,1,24,1,24,1,24,1,24,1,24,1,24,1,0,1,24,1
New Mexico,24,2,0,1,24,2,24,2,24,1,24,1,0,1,24,1,n/a,N,24,1,0,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,2,24,1
New York,0,1,0,1,24,2,24,2,24,1,24,1,0,1,24,1,24,2,24,1,0,1,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24*,2,n/a,N
North Carolina,168,4,0,1,24,2,24,2,24,1,24,1,168*,4,24,1,24,2,168,4,24,3,24,1,24,1,24,1,24,1,24,1,n/a,N,168,4,24,2,n/a,N
North Dakota,0,1,0,1,168,4,168,4,168,4,168,4,0,1,168,4,0*,1,168,4,0,1,168,4,168,4,168,4,168,4,n/a,N,168,4,168,4,0,1,n/a,N
Ohio,72.2,4,0,1,24.2,3,24.3,3,24.3,2,24.3,2,24.3,4,24.3,2,24.3,4,72.2,3,0,1,72.2,4,72.2,3,72.2,3,72.2,3,24.3,2,72.2,3,72.2,3,24.3,4,24.3,3
Oklahoma,24.1,3,0,1,24.1,3,24.1,3,24.1,2,24.1,1,0,1,24.1,2,24.1,3,24.1,2,24.1,4,24.1,2,24.1,2,24.1,2,24.1,1,n/a,N,n/a,N,24.1,1,0,1,n/a,N
Oregon,24.1,3,0,1,24.1,3,24.1,3,24.1,2,24.1,1,24.1,3,24.1,2,168,4,n/a,N,0,1,24.1,2,24.1,2,24.1,2,24.1,1,24.1,1,24.1,1,24.1,1,24.1,3,24.1,2
Pennsylvania,120.1,4,24,4,24,2,24,2,120.1,4,120.1,3,24,2,120.1,3,120.1,4,120.1,3,24,3,n/a,N,n/a,N,n/a,N,120.1,3,n/a,N,120.1,3,120.1,3,120.1,4,n/a,N
Rhode Island*,0,1,0,1,96,4,96,4,96,4,96,3,0,1,96,3,0,1,96,3,0,1,0,1,0,1,n/a,N,96,3,96,3,96,3,96,3,0,1,n/a,N
South Carolina,24,2,0,1,24,2,24,2,168,4,168,4,24,2,168,4,24*,2,168,4,24,3,24,1,24,1,24,1,168,4,168,4,168,4,24,1,24,2,n/a,N
South Dakota,72,4,0,1,0,1,0,1,72,3,72,3,0,1,72,3,72,4,72,2,0,1,n/a,N,n/a,N,n/a,N,72,2,72,2,72,2,72,2,72,4,72,4
Tennessee,23.9,2,0,1,168,4,168,4,168,4,168,4,23.9,2,168,4,23.9*,2,23.9,1,168,4,168,4,168,4,168,4,168,4,168,4,n/a,N,168,4,23.9,2,23.9,1
Texas,24.1,3,0,1,168,4,168,4,168,4,168,4,168,4,168,4,0,1,168,4,24.1,4,24.1,2,24.1,2,24.1,2,168,4,168,4,n/a,N,168,4,24.1,3,24.1,2
Utah,72.1,4,24,4,72.1,4,72.1,4,72.1,3,72.1,3,24,2,72.1,3,24,2,72.1,3,24,3,72.1,3,72.2,3,72.1,3,72.1,3,72.1,3,72.1,3,72.1,3,24,2,n/a,N
Vermont,24,2,0,1,24,2,24,2,24,1,24,1,24,2,24,1,24,2,24,1,24,3,24,1,24,1,24,1,24,1,n/a,N,24,1,24,1,24,2,n/a,N
Virginia,0,1,0,1,72,3,72,3,72,3,72,3,0,1,72,3,72,4,72,2,0,1,0,1,0,1,0,1,72,2,72,2,72,2,72,2,0,1,0,1
Washington,24,2,0,1,0,1,0,1,24,1,24,1,24,2,24,1,24,2,n/a,N,0,1,24,1,24,1,24,1,72.1,3,72.1,3,72.1,3,72.1,3,24,2,n/a,N
West Virginia,24,2,0,1,24,2,24,2,72,3,72,3,24,2,72,3,24,2,168,4,24,3,n/a,N,n/a,N,n/a,N,72,2,72,2,72,2,72,2,24,2,24,1
Wisconsin,72,4,0,1,72,3,72,3,72,3,72,3,72,4,72,3,0,1,72,2,0,1,72?,3,72?,3,72?,3,72,2,72,2,72,2,72,2,0,1,72,4
Wyoming,24,2,0,1,24,2,24,2,24,1,24,1,24,2,24,1,24,2,24,1,24,3,24,1,24,1,24,1,24,1,24,1,24,1,24,1,24,2,24,1
