State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Minnesota,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,3,Reporting Timeline:  1 business day ,2
Oregon,Reporting Timeline: 1 business day,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 week ,4,Not Reportable,N,Reporting Timeline:  Immediately ,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,3,Reporting Timeline:  1 business day ,2
Texas,Reporting Timeline: 1 business day,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 work day ,2,Reporting Timeline:  1 week,4,Reporting Timeline:  1 week,4,Not Reportable,N,Reporting Timeline:  1 week,4,Reporting Timeline:  1 business day,3,Reporting Timeline:  1 work day ,2
Arizona,Reporting Timeline: 1 business day,3,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  5 business days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  5 business days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  5 business days ,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days,4,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,4,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,4,Reporting Timeline:  1 business day ,2
Florida,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  1 business day ,2
Ohio,Reporting Timeline: End of business week,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y ,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  End of business week ,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  End of business week ,3,Reporting Timeline:  End of business week  ,3,Reporting Timeline:  End of business week ,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  1 business day,1,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  1 business day,3,Reporting Timeline:  1 business day ,2
District of Columbia,Reporting Timeline: 48 hours,3,Reporting Timeline:  2 hours ,2,Reporting Timeline:  2 hours; Isolate required: N,1,Reporting Timeline:  2 hours ,1,Reporting Timeline:  48 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  2 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  2 hours ,1,Reporting Timeline:  2 hours ,1,Reporting Timeline:  2 hours ,1,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,3,Reporting Timeline:  48 hours ,3
Missouri,Reporting Timeline: 1 day,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 day; Isolate required: Y,2,Reporting Timeline:  1 day ,2,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  1 day ,2,Reporting Timeline:  1 day; Isolate required: Y,1,Reporting Timeline:  1 day ,2,Reporting Timeline:  3 days ,2,Reporting Timeline:  1 day ,2,Reporting Timeline:  3 days ,3,Reporting Timeline:  3 days ,3,Reporting Timeline:  3 days ,3,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  1 day,2,Reporting Timeline:  3 days ,3
Iowa,Reporting Timeline: 3 days,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days ,3,Reporting Timeline:  1 day; Isolate required: Y,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  1 day  ,2,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days ,2,Reporting Timeline:  Immediately ,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  1 day,2,Reporting Timeline:  3 days ,3
South Dakota,Reporting Timeline: 3 days,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days ,4,Reporting Timeline:  3 days ,2,Reporting Timeline:  Immediately ,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,4,Reporting Timeline:  3 days ,3
Wisconsin,Reporting Timeline: 72 hours,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours,3,Reporting Timeline:  72 hours,3,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  Immediately,1,Reporting Timeline:  72 hours ,3
Nebraska,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  Immediately ,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  Immediately,1,Reporting Timeline:  7 days ,4
Mississippi,Reporting Timeline: 24 hours,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  1 week ,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week ,4,Reporting Timeline:  1 week,4,Not Reportable,N,Not Reportable,N,Reporting Timeline:  1 week,4,Reporting Timeline:  Immediately,1,Reporting Timeline:  1 week ,4
Michigan,Reporting Timeline: 24 hours,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
Massachusetts,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  24 hours ,N
Oklahoma,Reporting Timeline: 1 business day,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Not Reportable,N,Not Reportable,N,Reporting Timeline:  1 business day,1,Reporting Timeline:  Immediately,1,Not Reportable,N
Delaware,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Indiana,Reporting Timeline: 72 hours,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Hawaii,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  ~3 days; Isolate required: Y,3,Reporting Timeline:  ~3 days ,3,Reporting Timeline:  ~3 days; Isolate required: Y,3,Reporting Timeline:  ~3 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  ~3 days; Isolate required: Y,3,Not Reportable,N,Reporting Timeline:  ~3 days ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  ~3 days ,3,Reporting Timeline: ~3 days ,3,Reporting Timeline:  ~3 days ,3,Reporting Timeline:  ~3 days,2,Reporting Timeline:  ~3 days,2,Reporting Timeline:  ~3 days,2,Reporting Timeline:  ~3 days,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Maine,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  48 hours; Isolate required: Y,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours; Isolate required: Y,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  48 hours ,2,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48  hours ,3,Reporting Timeline:  48 hours ,3,Reporting Timeline:  48 hours,2,Not Reportable,N,Reporting Timeline:  48 hours,2,Reporting Timeline:  48 hours,2,Reporting Timeline:  Immediately,1,Not Reportable,N
Rhode Island*,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  4 days; Isolate required: Y,4,Reporting Timeline:  4 days ,4,Reporting Timeline:  4 days; Isolate required: Y,4,Reporting Timeline:  4 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  4 days; Isolate required: Y,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  4 days ,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately ,1,Not Reportable,N,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  Immediately,1,Not Reportable,N
North Dakota,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days ,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  Immediately,1,Not Reportable,N
Georgia,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days ,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  Immediately,1,Not Reportable,N
New York,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
